MMTC Name,Dispensing Locations,Medical Marijuana (mgs THC),Low-THC Cannabis (mgs CBD),Marijuana in a Form for Smoking (oz),Report Date
Green Dragon,31,2689754,2393,617.994,2023-07-21
VidaCann,26,7723766,147900,1999.805,2023-07-21
Sanctuary Cannabis,19,5059052,43615,2883.818,2023-07-21
GrowHealthy,18,3627084,8758,3444.373,2023-07-21
Cannabist,14,3165323,19394,2157.422,2023-07-21
Sunburn,11,4968420,1,1395.889,2023-07-21
Insa – Cannabis for Real Life,9,1120238,0,860.75,2023-07-21
GTI (Rise Dispensaries),8,2039177,5917,1296.414,2023-07-21
Jungle Boys,7,1968932,0,2933.168,2023-07-21
The Flowery,5,5550476,0,1725.929,2023-07-21
House of Platinum Cannabis,4,212269,0,157.693,2023-07-21
"Cookies Florida, Inc.",3,537146,0,682.81,2023-07-21
Gold Leaf,1,112100,0,265.747,2023-07-21
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-07-21
Revolution Florida,0,0,0,0.0,2023-07-21
Trulieve,126,133226225,793940,40677.116,2023-07-14
MüV,69,25987268,225279,9136.234,2023-07-14
Ayr Ayr,61,49268275,0,8748.607,2023-07-14
Curaleaf,60,38795845,205800,10363.324,2023-07-14
Surterra Welln ess,45,24786604,888711,4834.047,2023-07-14
Fluent,32,13341057,136860,4127.875,2023-07-14
Sunnyside*,31,4899388,73554,3084.568,2023-07-14
Green Dragon,31,5196917,5525,583.467,2023-07-14
VidaCann,26,4780808,105414,2044.19,2023-07-14
Sanctuary Cannabis,19,4855344,55468,2905.125,2023-07-14
GrowHealthy,18,6594900,7228,3297.283,2023-07-14
Cannabist,14,3195845,23652,1615.323,2023-07-14
Sunburn,10,6597897,0,1301.718,2023-07-14
Insa – Cannabis for Real Life,9,1416070,0,808.151,2023-07-14
GTI (Rise Dispensaries),8,2346343,16531,1007.725,2023-07-14
Jungle Boys,7,2398647,0,2781.635,2023-07-14
The Flowery,5,5579602,0,1610.77,2023-07-14
House of Platinum Cannabis,4,417648,0,142.68,2023-07-14
"Cookies Florida, Inc.",3,528748,0,729.891,2023-07-14
Gold Leaf,1,184709,0,273.047,2023-07-14
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-07-14
Revolution Florida,0,0,0,0.0,2023-07-14
Shedrick McGriff,0,0,0,0.0,2023-07-14
Terry Donell Gwinn,0,0,0,0.0,2023-07-14
Trulieve,126,146783545,1214350,45808.928,2023-07-07
MüV,69,27399716,202901,9770.072,2023-07-07
Ayr Ayr,61,32849714,0,7987.474,2023-07-07
Curaleaf,60,36545073,229200,11280.406,2023-07-07
Surterra Welln ess,45,26450983,1212361,5206.358,2023-07-07
Fluent,32,14574415,92892,4865.225,2023-07-07
Sunnyside*,31,5262229,103670,3241.57,2023-07-07
Green Dragon,31,3149976,1814,652.003,2023-07-07
VidaCann,26,4315733,105346,1800.346,2023-07-07
Sanctuary Cannabis,19,4726964,45582,2767.903,2023-07-07
GrowHealthy,18,4359682,16670,3531.274,2023-07-07
Cannabist,14,3829710,34541,2244.628,2023-07-07
Sunburn,10,3841557,0,1218.709,2023-07-07
Insa – Cannabis for Real Life,9,1348421,0,946.402,2023-07-07
GTI (Rise Dispensaries),8,2540701,17226,2637.591,2023-07-07
Jungle Boys,7,1769445,0,2967.288,2023-07-07
The Flowery,5,4598146,0,1715.354,2023-07-07
House of Platinum Cannabis,4,283875,400,197.442,2023-07-07
"Cookies Florida, Inc.",3,504164,0,755.456,2023-07-07
Gold Leaf,1,92261,0,208.606,2023-07-07
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-07-07
Revolution Florida,0,0,0,0.0,2023-07-07
Trulieve,126,135352557,1369406,48745.888,2023-06-30
MüV,69,27251733,221261,10497.994,2023-06-30
Ayr Ayr,61,42242052,0,8035.983,2023-06-30
Curaleaf,60,36911470,295200,11341.947,2023-06-30
Surterra Welln ess,45,26783458,1207522,4738.545,2023-06-30
Fluent,32,12359131,65350,4383.024,2023-06-30
Sunnyside*,31,4859492,107348,2939.462,2023-06-30
Green Dragon,31,3135040,0,543.416,2023-06-30
VidaCann,26,5126623,133358,1733.177,2023-06-30
Sanctuary Cannabis,19,3690773,40380,2385.534,2023-06-30
GrowHealthy,18,4562088,16970,3306.472,2023-06-30
Cannabist,14,3415068,25600,2202.312,2023-06-30
Sunburn,10,2629040,0,1494.851,2023-06-30
Insa – Cannabis for Real Life,9,1623164,0,1230.453,2023-06-30
GTI (Rise Dispensaries),8,2588884,16122,1484.208,2023-06-30
Jungle Boys,7,1648141,0,2921.625,2023-06-30
The Flowery,5,6252231,2153,1790.806,2023-06-30
House of Platinum Cannabis,4,359507,0,209.423,2023-06-30
"Cookies Florida, Inc.",3,455839,0,562.891,2023-06-30
Gold Leaf,1,69764,0,223.18,2023-06-30
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-06-30
Revolution Florida,0,0,0,0.0,2023-06-30
Trulieve,126,122153332,1531244,44358.972,2023-06-23
MüV,68,26674735,200125,9950.621,2023-06-23
Ayr Ayr,61,42439340,0,9708.044,2023-06-23
Curaleaf,60,36715448,260500,10705.679,2023-06-23
Surterra Welln ess,45,25012722,957953,4559.552,2023-06-23
Fluent,32,12578286,47312,4445.393,2023-06-23
Sunnyside*,31,5114894,119197,2630.095,2023-06-23
Green Dragon,31,3239636,464,571.571,2023-06-23
VidaCann,26,4984495,113592,1721.263,2023-06-23
Sanctuary Cannabis,19,3682880,30566,2557.371,2023-06-23
GrowHealthy,18,4094029,17453,3600.025,2023-06-23
Cannabist,14,3353544,20956,1641.762,2023-06-23
Sunburn,10,3342755,0,1393.718,2023-06-23
Insa – Cannabis for Real Life,9,1501194,0,1150.126,2023-06-23
GTI (Rise Dispensaries),8,2392476,21135,1581.569,2023-06-23
Jungle Boys,7,2000253,0,3017.94,2023-06-23
The Flowery,5,4447919,0,1573.143,2023-06-23
House of Platinum Cannabis,4,407043,400,246.765,2023-06-23
"Cookies Florida, Inc.",3,442086,0,564.258,2023-06-23
Gold Leaf,1,78741,0,235.999,2023-06-23
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-06-23
Revolution Florida,0,0,0,0.0,2023-06-23
Trulieve,125,115323850,1272658,41714.642,2023-06-16
MüV,68,31909418,182496,10740.458,2023-06-16
Ayr Ayr,61,42773321,0,7945.314,2023-06-16
Curaleaf,60,34688568,258900,10606.664,2023-06-16
Surterra Welln ess,45,26563349,1088488,5485.277,2023-06-16
Fluent,31,11794346,84551,4920.269,2023-06-16
Sunnyside*,31,4992320,116923,2899.23,2023-06-16
Green Dragon,31,3759113,10151,766.095,2023-06-16
VidaCann,26,5467689,92143,1839.665,2023-06-16
Sanctuary Cannabis,19,3526267,15875,2293.921,2023-06-16
GrowHealthy,18,3446639,16273,3523.719,2023-06-16
Cannabist,14,3123722,24080,1750.906,2023-06-16
Sunburn,10,3773933,0,1140.243,2023-06-16
Insa – Cannabis for Real Life,9,1457277,0,871.873,2023-06-16
GTI (Rise Dispensaries),8,2185703,12703,1410.31,2023-06-16
Jungle Boys,7,1765457,0,3028.366,2023-06-16
The Flowery,5,4033097,0,1625.981,2023-06-16
House of Platinum Cannabis,4,405814,0,331.538,2023-06-16
"Cookies Florida, Inc.",2,459104,0,646.248,2023-06-16
Gold Leaf,1,70881,0,267.848,2023-06-16
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-06-16
Revolution Florida,0,0,0,0.0,2023-06-16
Trulieve,125,117237601,1308399,41825.244,2023-06-09
MüV,68,26105099,208258,10341.475,2023-06-09
Ayr Ayr,61,39601714,0,8683.268,2023-06-09
Curaleaf,60,39597215,143000,11577.215,2023-06-09
Surterra Welln ess,45,26556545,1091223,4386.904,2023-06-09
Fluent,31,13297528,80293,4873.15,2023-06-09
Sunnyside*,30,4768976,51405,3115.035,2023-06-09
Green Dragon,30,3121906,4288,787.559,2023-06-09
VidaCann,27,4797495,113514,1829.669,2023-06-09
Sanctuary Cannabis,19,3355517,18655,2043.93,2023-06-09
GrowHealthy,18,3756679,17546,3635.206,2023-06-09
Cannabist,14,2801089,16218,1446.798,2023-06-09
Sunburn,10,3312450,3,1294.335,2023-06-09
Insa – Cannabis for Real Life,9,1222373,0,837.164,2023-06-09
GTI (Rise Dispensaries),8,2167483,15083,1045.39,2023-06-09
Jungle Boys,7,1678112,0,3107.478,2023-06-09
The Flowery,5,4479478,0,2012.718,2023-06-09
House of Platinum Cannabis,4,263087,0,146.449,2023-06-09
"Cookies Florida, Inc.",2,432907,0,622.863,2023-06-09
Gold Leaf,1,86379,0,229.677,2023-06-09
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-06-09
Revolution Florida,0,0,0,0.0,2023-06-09
Trulieve,125,130389791,1432094,46686.466,2023-06-02
MüV,68,27001162,200603,11145.108,2023-06-02
Ayr Ayr,61,47879296,0,8537.539,2023-06-02
Curaleaf,60,40520292,6000,11623.378,2023-06-02
Surterra Welln ess,45,25877796,1230200,5083.75,2023-06-02
Fluent,31,12949233,94331,3457.867,2023-06-02
Sunnyside*,29,4624765,43773,3180.476,2023-06-02
Green Dragon,29,3437361,9872,808.212,2023-06-02
VidaCann,27,4400242,132511,1689.006,2023-06-02
Sanctuary Cannabis,19,3291010,21552,2047.154,2023-06-02
GrowHealthy,18,3561766,24270,3289.643,2023-06-02
Cannabist,14,3328328,22821,1852.282,2023-06-02
Sunburn,10,5021726,0,1424.193,2023-06-02
GTI (Rise Dispensaries),8,1794886,17575,2353.164,2023-06-02
Insa – Cannabis for Real Life,8,1635784,0,1128.797,2023-06-02
Jungle Boys,7,1718705,0,2870.923,2023-06-02
The Flowery,5,3898165,0,1405.381,2023-06-02
House of Platinum Cannabis,4,570849,60,271.962,2023-06-02
"Cookies Florida, Inc.",2,593234,0,873.747,2023-06-02
Gold Leaf,1,86740,0,309.126,2023-06-02
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-06-02
Revolution Florida,0,0,0,0.0,2023-06-02
Trulieve,125,120703963,1536044,40887.928,2023-05-26
MüV,67,26311822,232187,10300.318,2023-05-26
Ayr Ayr,61,49075383,753,9931.782,2023-05-26
Curaleaf,60,41802313,8400,11312.879,2023-05-26
Surterra Welln ess,45,30418788,1427621,5200.197,2023-05-26
Fluent,31,14693350,154341,3342.72,2023-05-26
Sunnyside*,29,4617154,31741,3494.525,2023-05-26
Green Dragon,28,3457668,4440,691.18,2023-05-26
VidaCann,27,4560540,110754,1612.954,2023-05-26
GrowHealthy,18,3177998,13336,2979.436,2023-05-26
Sanctuary Cannabis,18,3264647,20967,2107.672,2023-05-26
Cannabist,14,2674664,16190,1406.351,2023-05-26
Sunburn,10,4565653,0,1475.712,2023-05-26
GTI (Rise Dispensaries),8,1996342,23345,1625.062,2023-05-26
Insa – Cannabis for Real Life,8,1147490,0,874.343,2023-05-26
Jungle Boys,7,2352736,0,3180.555,2023-05-26
The Flowery,5,3210620,0,1521.175,2023-05-26
House of Platinum Cannabis,4,506283,0,233.976,2023-05-26
"Cookies Florida, Inc.",2,434588,0,441.199,2023-05-26
Gold Leaf,1,56419,0,237.89,2023-05-26
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-05-26
Revolution Florida,0,0,0,0.0,2023-05-26
Trulieve,125,128232634,1160685,44452.939,2023-05-19
MüV,66,28219318,236466,10646.439,2023-05-19
Ayr Ayr,60,38409829,0,8132.637,2023-05-19
Curaleaf,60,34890899,161700,10240.438,2023-05-19
Surterra Welln ess,45,30058180,1280789,5183.031,2023-05-19
Fluent,31,14273854,56442,3528.775,2023-05-19
Sunnyside*,29,4039206,27331,3346.776,2023-05-19
Green Dragon,28,3175711,6885,912.701,2023-05-19
VidaCann,27,4296145,134641,1485.63,2023-05-19
GrowHealthy,18,4231491,33333,3748.015,2023-05-19
Sanctuary Cannabis,18,3219066,23802,2391.224,2023-05-19
Cannabist,14,2638962,14150,1337.722,2023-05-19
Sunburn,10,4139730,0,1258.615,2023-05-19
GTI (Rise Dispensaries),8,1633733,22276,1047.607,2023-05-19
Insa – Cannabis for Real Life,8,1021361,0,912.52,2023-05-19
Jungle Boys,7,1877888,0,2834.937,2023-05-19
The Flowery,5,3272886,0,1608.671,2023-05-19
House of Platinum Cannabis,4,692613,100,250.424,2023-05-19
"Cookies Florida, Inc.",2,172270,0,207.824,2023-05-19
Gold Leaf,1,68413,0,202.973,2023-05-19
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-05-19
Revolution Florida,0,0,0,0.0,2023-05-19
Trulieve,125,120527531,1434419,44061.254,2023-05-12
MüV,66,25642511,229758,10884.26,2023-05-12
Ayr Ayr,60,40170095,0,7628.135,2023-05-12
Curaleaf,60,37589993,190400,12609.855,2023-05-12
Surterra Welln ess,45,28321494,1340596,4382.328,2023-05-12
Fluent,31,13410874,53373,3620.534,2023-05-12
Sunnyside*,29,4607301,35567,3268.808,2023-05-12
Green Dragon,28,3948959,3897,956.626,2023-05-12
VidaCann,27,4608095,122405,1533.751,2023-05-12
GrowHealthy,18,6052133,31003,3984.631,2023-05-12
Sanctuary Cannabis,18,2834860,19371,2314.653,2023-05-12
Cannabist,14,3137835,18630,1418.122,2023-05-12
Sunburn,10,3868681,2,1251.359,2023-05-12
GTI (Rise Dispensaries),8,1300235,9705,1288.244,2023-05-12
Insa – Cannabis for Real Life,8,991627,0,817.163,2023-05-12
Jungle Boys,7,1624499,0,2929.797,2023-05-12
The Flowery,5,3200983,2294,1237.127,2023-05-12
House of Platinum Cannabis,4,522210,1568,195.101,2023-05-12
"Cookies Florida, Inc.",1,144270,0,208.026,2023-05-12
Gold Leaf,1,95226,0,224.765,2023-05-12
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-05-12
Revolution Florida,0,0,0,0.0,2023-05-12
Trulieve,125,112919698,989748,37722.668,2023-05-05
MüV,66,28701209,200922,11840.952,2023-05-05
Ayr Ayr,60,36807854,0,8618.38,2023-05-05
Curaleaf,60,37289359,266500,11876.639,2023-05-05
Surterra Welln ess,45,27632804,1077161,4396.495,2023-05-05
Fluent,31,12995207,82097,3638.32,2023-05-05
Sunnyside*,29,4738361,48568,2880.556,2023-05-05
Green Dragon,28,4070915,0,1096.516,2023-05-05
VidaCann,27,3925512,142396,1681.921,2023-05-05
GrowHealthy,18,5510037,53886,4790.701,2023-05-05
Sanctuary Cannabis,18,3280009,22204,2245.006,2023-05-05
Cannabist,14,4091992,27585,1737.971,2023-05-05
Sunburn,10,3865519,1,1044.519,2023-05-05
GTI (Rise Dispensaries),8,1143980,4229,1497.603,2023-05-05
Insa – Cannabis for Real Life,8,1323772,0,918.474,2023-05-05
Jungle Boys,7,2052004,0,3122.086,2023-05-05
House of Platinum Cannabis,4,359333,0,159.232,2023-05-05
The Flowery,4,4302877,0,1435.052,2023-05-05
"Cookies Florida, Inc.",1,194886,0,243.065,2023-05-05
Gold Leaf,1,77900,0,265.711,2023-05-05
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-05-05
Revolution Florida,0,0,0,0.0,2023-05-05
Trulieve,125,133107175,1405888,42356.848,2023-04-28
MüV,66,25987337,216002,8135.576,2023-04-28
Ayr Ayr,60,37980163,0,8465.937,2023-04-28
Curaleaf,60,30508501,182100,9845.436,2023-04-28
Surterra Welln ess,45,22558301,860318,3896.33,2023-04-28
Fluent,31,10565075,100405,2920.842,2023-04-28
Sunnyside*,29,4175422,53011,2588.343,2023-04-28
Green Dragon,28,2710187,3661,961.194,2023-04-28
VidaCann,27,5005671,174585,1567.45,2023-04-28
GrowHealthy,18,4316543,37097,3514.06,2023-04-28
Sanctuary Cannabis,18,2869604,33427,1854.925,2023-04-28
Cannabist,14,2817112,31020,1062.226,2023-04-28
Sunburn,10,3017950,1,747.489,2023-04-28
GTI (Rise Dispensaries),8,1278513,8376,1182.385,2023-04-28
Insa – Cannabis for Real Life,8,1180949,0,779.573,2023-04-28
Jungle Boys,7,1475676,0,2618.827,2023-04-28
House of Platinum Cannabis,4,271192,0,135.22,2023-04-28
The Flowery,4,3044414,0,1047.966,2023-04-28
"Cookies Florida, Inc.",1,146964,0,185.669,2023-04-28
Gold Leaf,1,44328,0,232.778,2023-04-28
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-04-28
Revolution Florida,0,0,0,0.0,2023-04-28
Trulieve,125,161895527,1638035,52355.805,2023-04-21
MüV,66,42767157,417758,16226.644,2023-04-21
Ayr Ayr,61,62057782,2172,10493.993,2023-04-21
Curaleaf,59,47690184,282600,13053.405,2023-04-21
Surterra Welln ess,45,39792177,1965740,7267.248,2023-04-21
Fluent,31,18711995,197976,4885.831,2023-04-21
Sunnyside*,29,6060000,90402,3895.002,2023-04-21
Green Dragon,28,8559668,24164,2152.19,2023-04-21
VidaCann,27,8922027,218095,2210.193,2023-04-21
GrowHealthy,18,9567147,60716,6186.572,2023-04-21
Sanctuary Cannabis,18,3698951,31614,2773.872,2023-04-21
Cannabist,14,6520429,53597,2567.781,2023-04-21
Sunburn,10,6425780,0,1448.408,2023-04-21
GTI (Rise Dispensaries),8,2235105,18878,2121.946,2023-04-21
Insa – Cannabis for Real Life,8,3075629,0,1820.994,2023-04-21
Jungle Boys,7,2484653,0,3980.413,2023-04-21
House of Platinum Cannabis,4,1326638,1460,372.728,2023-04-21
The Flowery,4,5556496,0,1798.548,2023-04-21
"Cookies Florida, Inc.",1,206129,0,358.753,2023-04-21
Gold Leaf,1,99203,0,360.049,2023-04-21
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-04-21
Revolution Florida,0,0,0,0.0,2023-04-21
Trulieve,125,105909247,1146035,41973.205,2023-04-14
MüV,66,25158551,246897,10919.169,2023-04-14
Ayr Ayr,60,43372422,0,8829.498,2023-04-14
Curaleaf,59,26573116,138900,10095.312,2023-04-14
Surterra Welln ess,45,28666057,1142138,5113.115,2023-04-14
Fluent,30,13763613,50495,3804.36,2023-04-14
Sunnyside*,29,4070324,95942,2459.136,2023-04-14
Green Dragon,28,3011602,3502,554.243,2023-04-14
VidaCann,26,5075117,113258,1722.541,2023-04-14
GrowHealthy,18,5709830,42126,3844.098,2023-04-14
Sanctuary Cannabis,18,3059508,21547,2131.389,2023-04-14
Cannabist,14,3994097,9492,1460.607,2023-04-14
Sunburn,9,3642183,0,699.526,2023-04-14
GTI (Rise Dispensaries),8,2039458,10045,1438.074,2023-04-14
Insa – Cannabis for Real Life,8,1349166,0,987.867,2023-04-14
Jungle Boys,7,1650835,0,2127.132,2023-04-14
House of Platinum Cannabis,4,550595,0,196.341,2023-04-14
The Flowery,4,5005006,0,1584.836,2023-04-14
"Cookies Florida, Inc.",1,113122,0,194.443,2023-04-14
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-04-14
Revolution Florida,0,0,0,0.0,2023-04-14
Gold Leaf,0,78648,0,132.421,2023-04-14
Trulieve,125,108392578,1217209,43733.913,2023-04-07
MüV,66,30963334,329795,11784.452,2023-04-07
Ayr Ayr,60,39780858,0,8598.134,2023-04-07
Curaleaf,58,35928869,154400,10441.549,2023-04-07
Surterra Welln ess,45,28123515,1314093,5327.523,2023-04-07
Fluent,30,13554992,66213,3627.687,2023-04-07
Sunnyside*,28,4524429,114518,2437.435,2023-04-07
VidaCann,26,4806568,154052,1930.27,2023-04-07
Green Dragon,26,2547856,4024,685.67,2023-04-07
GrowHealthy,18,4338052,35139,3731.753,2023-04-07
Sanctuary Cannabis,18,3512477,7858,2150.324,2023-04-07
Cannabist,14,3638959,4303,1682.656,2023-04-07
Sunburn,9,3354021,0,1213.083,2023-04-07
GTI (Rise Dispensaries),8,2033187,17037,1311.419,2023-04-07
Insa – Cannabis for Real Life,8,1450622,0,957.242,2023-04-07
Jungle Boys,7,1666082,0,2245.663,2023-04-07
House of Platinum Cannabis,4,668165,0,229.201,2023-04-07
The Flowery,4,3133444,0,1155.091,2023-04-07
"Cookies Florida, Inc.",1,230123,0,261.352,2023-04-07
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-04-07
Revolution Florida,0,0,0,0.0,2023-04-07
Gold Leaf,0,24439,0,138.377,2023-04-07
Trulieve,125,106728989,950622,43071.143,2023-03-31
MüV,66,29287202,268024,10874.813,2023-03-31
Ayr Ayr,60,39634538,0,8143.235,2023-03-31
Curaleaf,58,41077011,250400,11006.56,2023-03-31
Surterra Welln ess,45,29374910,1082158,5581.966,2023-03-31
Fluent,30,12577423,51113,3213.112,2023-03-31
Sunnyside*,28,4156801,102021,2155.009,2023-03-31
VidaCann,26,5070688,141400,1387.082,2023-03-31
Green Dragon,26,3598366,4007,667.429,2023-03-31
GrowHealthy,18,4696482,57554,3828.201,2023-03-31
Sanctuary Cannabis,17,3223810,11945,2368.8,2023-03-31
Cannabist,14,4498833,2352,1911.154,2023-03-31
Sunburn,9,3216657,0,625.774,2023-03-31
GTI (Rise Dispensaries),8,1576608,9363,1235.734,2023-03-31
Insa – Cannabis for Real Life,7,1437702,0,946.319,2023-03-31
Jungle Boys,6,1504703,0,2136.365,2023-03-31
House of Platinum Cannabis,4,566459,700,199.006,2023-03-31
The Flowery,3,3850034,0,1255.92,2023-03-31
"Cookies Florida, Inc.",1,137191,0,273.712,2023-03-31
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-03-31
Revolution Florida,0,0,0,0.0,2023-03-31
Gold Leaf,0,175425,0,212.47,2023-03-31
Trulieve,125,102078546,976065,46412.574,2023-03-24
MüV,66,28679416,270166,10267.514,2023-03-24
Ayr Ayr,60,38246253,12688,8198.435,2023-03-24
Curaleaf,58,37972199,212000,12314.312,2023-03-24
Surterra Welln ess,45,27678510,1378507,5281.732,2023-03-24
Fluent,30,15479846,70570,2858.43,2023-03-24
Sunnyside*,28,4119923,99247,2184.98,2023-03-24
VidaCann,26,4135796,108321,1316.309,2023-03-24
Green Dragon,25,3104643,4931,599.935,2023-03-24
GrowHealthy,18,4966247,30066,3744.111,2023-03-24
Sanctuary Cannabis,17,3323263,11471,2400.608,2023-03-24
Cannabist,14,4237982,2818,1644.438,2023-03-24
Sunburn,9,1540572,0,687.98,2023-03-24
GTI (Rise Dispensaries),8,1593000,10749,1578.811,2023-03-24
Insa – Cannabis for Real Life,7,1299364,0,917.469,2023-03-24
Jungle Boys,5,1704479,0,2183.562,2023-03-24
House of Platinum Cannabis,4,499820,0,227.826,2023-03-24
The Flowery,3,2712380,0,1080.059,2023-03-24
"Cookies Florida, Inc.",1,79326,0,299.299,2023-03-24
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-03-24
Revolution Florida,0,0,0,0.0,2023-03-24
Gold Leaf,0,21071,0,258.388,2023-03-24
Trulieve,125,102191357,1033664,47295.758,2023-03-17
MüV,66,30581135,285006,12045.635,2023-03-17
Ayr Ayr,59,43712481,0,7956.186,2023-03-17
Curaleaf,58,40590446,283500,12195.596,2023-03-17
Surterra Welln ess,45,26913520,1184960,6072.078,2023-03-17
Fluent,30,14777353,71837,3135.352,2023-03-17
Sunnyside*,28,4630887,50947,2179.454,2023-03-17
VidaCann,26,4262495,91267,1215.387,2023-03-17
Green Dragon,25,3812373,3679,683.382,2023-03-17
GrowHealthy,18,4584671,11240,3373.282,2023-03-17
Sanctuary Cannabis,16,3239544,8070,2017.254,2023-03-17
Cannabist,14,4142658,1905,2024.746,2023-03-17
Sunburn,8,1771682,0,1165.727,2023-03-17
GTI (Rise Dispensaries),8,1634011,15103,1575.796,2023-03-17
Insa – Cannabis for Real Life,7,1115483,0,648.029,2023-03-17
Jungle Boys,5,1855377,0,2330.404,2023-03-17
House of Platinum Cannabis,4,489409,758,210.157,2023-03-17
The Flowery,3,3843776,0,972.232,2023-03-17
"Cookies Florida, Inc.",1,256400,0,246.334,2023-03-17
"Planet 13 Florida, Inc.",0,0,0,1.5,2023-03-17
Revolution Florida,0,0,0,0.0,2023-03-17
Gold Leaf,0,0,0,265.71,2023-03-17
Trulieve,125,106766201,1078878,39807.681,2023-03-10
MüV,66,31532041,310225,10844.212,2023-03-10
Ayr Ayr,59,40927698,0,8252.502,2023-03-10
Curaleaf,58,41273140,227900,11699.069,2023-03-10
Surterra Welln ess,45,30036267,1843545,5933.794,2023-03-10
Fluent,30,13596603,113341,3244.083,2023-03-10
Sunnyside*,28,3906520,44565,2148.053,2023-03-10
VidaCann,26,5015086,119969,1361.494,2023-03-10
Green Dragon,24,2167466,2998,668.817,2023-03-10
GrowHealthy,18,4060717,6930,3519.153,2023-03-10
Sanctuary Cannabis,16,3565964,12483,2429.353,2023-03-10
Cannabist,14,3645399,1463,1674.692,2023-03-10
Sunburn,8,3323184,13,903.875,2023-03-10
GTI (Rise Dispensaries),8,1254738,7023,1379.969,2023-03-10
Insa – Cannabis for Real Life,7,1820233,0,732.34,2023-03-10
Jungle Boys,5,1915282,0,2324.384,2023-03-10
House of Platinum Cannabis,4,522987,0,245.292,2023-03-10
The Flowery,3,2812615,0,1097.389,2023-03-10
"Cookies Florida, Inc.",1,332198,0,293.444,2023-03-10
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-03-10
Revolution Florida,0,0,0,0.0,2023-03-10
Gold Leaf,0,0,0,239.601,2023-03-10
Trulieve,124,103036267,1060994,38328.331,2023-03-03
MüV,66,31058222,253477,11305.048,2023-03-03
Ayr Ayr,59,43432950,472,9837.896,2023-03-03
Curaleaf,58,44887304,289300,13155.381,2023-03-03
Surterra Welln ess,45,34324791,1374972,5105.478,2023-03-03
Fluent,30,13454307,136975,3063.622,2023-03-03
Sunnyside*,27,4035975,61661,2184.002,2023-03-03
VidaCann,26,4203974,114343,1119.337,2023-03-03
Green Dragon,24,2958405,1374,538.562,2023-03-03
GrowHealthy,18,6109127,9138,3268.102,2023-03-03
Sanctuary Cannabis,16,3734508,16633,2490.036,2023-03-03
Cannabist,14,4803448,1600,2402.614,2023-03-03
Sunburn,8,2011382,139,689.017,2023-03-03
GTI (Rise Dispensaries),8,1219486,10663,1537.798,2023-03-03
Insa – Cannabis for Real Life,6,483405,0,355.321,2023-03-03
House of Platinum Cannabis,4,501622,1642,155.689,2023-03-03
Jungle Boys,4,1098639,0,1528.028,2023-03-03
The Flowery,3,4854492,500,1274.539,2023-03-03
"Cookies Florida, Inc.",1,332373,0,278.856,2023-03-03
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-03-03
Revolution Florida,0,0,0,0.0,2023-03-03
Gold Leaf,0,0,0,244.655,2023-03-03
Trulieve,124,91218310,1102446,38581.5,2023-02-24
MüV,66,30282340,187266,10675.561,2023-02-24
Curaleaf,58,38665820,225300,10644.987,2023-02-24
Ayr Ayr,57,47426313,0,10916.403,2023-02-24
Surterra Welln ess,45,25275409,989397,4767.779,2023-02-24
Fluent,29,13030696,180000,3236.127,2023-02-24
VidaCann,26,5291484,111128,1477.814,2023-02-24
Sunnyside*,26,3838898,79369,2163.365,2023-02-24
Green Dragon,24,2033631,1025,292.334,2023-02-24
GrowHealthy,18,4632061,12370,3526.056,2023-02-24
Sanctuary Cannabis,16,3507179,20751,2375.931,2023-02-24
Cannabist,14,3334794,3800,1346.08,2023-02-24
Sunburn,8,1727945,37,871.682,2023-02-24
GTI (Rise Dispensaries),8,1134423,11337,1478.334,2023-02-24
Insa – Cannabis for Real Life,6,386314,0,274.333,2023-02-24
House of Platinum Cannabis,4,510885,1160,191.878,2023-02-24
Jungle Boys,4,962364,0,1401.234,2023-02-24
The Flowery,3,3140342,0,1241.608,2023-02-24
"Cookies Florida, Inc.",1,396006,0,292.523,2023-02-24
"Planet 13 Florida, Inc.",0,0,0,0.0,2023-02-24
Revolution Florida,0,0,0,0.0,2023-02-24
Gold Leaf,0,0,0,256.565,2023-02-24
Trulieve,124,98910203,961397,38061.173,2023-02-17
MüV,64,32573114,87769,9250.25,2023-02-17
Curaleaf,58,40000433,280200,12012.161,2023-02-17
Ayr Ayr,57,41620125,0,10156.246,2023-02-17
